arr_airport,arr_country,arr_region,include
SPU,Croatia,Europe : Eastern/Central Europe,IN
STR,Germany,Europe : Western Europe,IN
SVG,Norway,Europe : Western Europe,IN
SVO,Russian Federation,Europe : Eastern/Central Europe,IN
TAS,Uzbekistan,Asia : Central Asia,IN
TLS,France,Europe : Western Europe,IN
TLV,Israel,Middle East,IN
TSE,Kazakhstan,Asia : Central Asia,OUT
TUN,Tunisia,Africa : North Africa,IN
TXL,Germany,Europe : Western Europe,IN
VCE,Italy,Europe : Western Europe,IN
VIE,Austria,Europe : Western Europe,IN
VKO,Russian Federation,Europe : Eastern/Central Europe,IN
WAW,Poland,Europe : Eastern/Central Europe,IN
YEG,Canada,North America,OUT
YHZ,Canada,North America,OUT
YOW,Canada,North America,OUT
YUL,Canada,North America,OUT
YVR,Canada,North America,OUT
YYC,Canada,North America,OUT
YYT,Canada,North America,OUT
YYZ,Canada,North America,OUT
ZAG,Croatia,Europe : Eastern/Central Europe,IN
ZRH,Switzerland,Europe : Western Europe,IN
ZYL,Bangladesh,Asia : South Asia,OUT
OUR FULL AIRPORT NETWORK,,None,NONE
City,Include,None,NONE
ABV,Y,None,NONE
ABZ,Y,None,NONE
ACC,Y,None,NONE
ADD,Y,None,NONE
AGP,Y,None,NONE
ALG,Y,None,NONE
AMM,Y,None,NONE
AMM,Y,None,NONE
AMS,Y,None,NONE
ASB,Y,None,NONE
ATH,Y,None,NONE
AUH,Y,None,NONE
BAH,Y,None,NONE
BAK,Y,None,NONE
BCN,Y,None,NONE
BEG,Y,None,NONE
BER,Y,None,NONE
BER,Y,None,NONE
BEY,Y,None,NONE
BFS,Y,None,NONE
BFS,Y,None,NONE
BGO,Y,None,NONE
BIO,Y,None,NONE
BLQ,Y,None,NONE
BLR,Y,None,NONE
BOM,Y,None,NONE
BRU,Y,None,NONE
BRU,Y,None,NONE
BRU,Y,None,NONE
BUD,Y,None,NONE
BUH,Y,None,NONE
BUH,Y,None,NONE
CAI,Y,None,NONE
CAS,Y,None,NONE
CAS,Y,None,NONE
CFU,Y,None,NONE
CGN,Y,None,NONE
CMB,Y,None,NONE
CPH,Y,None,NONE
CPH,Y,None,NONE
CPT,Y,None,NONE
DEL,Y,None,NONE
DOH,Y,None,NONE
DUB,Y,None,NONE
DUS,Y,None,NONE
DUS,Y,None,NONE
DXB,Y,None,NONE
EAP,Y,None,NONE
EAP,Y,None,NONE
EBB,Y,None,NONE
EDI,Y,None,NONE
FAO,Y,None,NONE
FRA,Y,None,NONE
FRA,Y,None,NONE
GIB,Y,None,NONE
GLA,Y,None,NONE
GLA,Y,None,NONE
GOT,Y,None,NONE
GOT,Y,None,NONE
GVA,Y,None,NONE
HAJ,Y,None,NONE
HAM,Y,None,NONE
HAM,Y,None,NONE
HEL,Y,None,NONE
HYD,Y,None,NONE
IBZ,Y,None,NONE
IEV,Y,None,NONE
IEV,Y,None,NONE
ISB,Y,None,NONE
IST,Y,None,NONE
IST,Y,None,NONE
JED,Y,None,NONE
JMK,Y,None,NONE
JNB,Y,None,NONE
JNB,Y,None,NONE
JTR,Y,None,NONE
KGS,Y,None,NONE
KHI,Y,None,NONE
KRK,Y,None,NONE
KWI,Y,None,NONE
LAD,Y,None,NONE
LBA,Y,None,NONE
LCA,Y,None,NONE
LCG,Y,None,NONE
LED,Y,None,NONE
LHE,Y,None,NONE
LIS,Y,None,NONE
LOS,Y,None,NONE
LUX,Y,None,NONE
LXR,Y,None,NONE
LYS,Y,None,NONE
LYS,Y,None,NONE
MAA,Y,None,NONE
MAD,Y,None,NONE
MAN,Y,None,NONE
MCT,Y,None,NONE
MIL,Y,None,NONE
MIL,Y,None,NONE
MIL,Y,None,NONE
MIL,Y,None,NONE
MLA,Y,None,NONE
MOW,Y,None,NONE
MOW,Y,None,NONE
MOW,Y,None,NONE
MOW,Y,None,NONE
MRS,Y,None,NONE
MRU,Y,None,NONE
MUC,Y,None,NONE
MUC,Y,None,NONE
NBO,Y,None,NONE
NBO,Y,None,NONE
NCE,Y,None,NONE
NCL,Y,None,NONE
OLB,Y,None,NONE
OPO,Y,None,NONE
ORK,Y,None,NONE
OSL,Y,None,NONE
OSL,Y,None,NONE
OSL,Y,None,NONE
PAR,Y,None,NONE
PAR,Y,None,NONE
PAR,Y,None,NONE
PAR,Y,None,NONE
PMI,Y,None,NONE
PRG,Y,None,NONE
PSA,Y,None,NONE
RJK,Y,None,NONE
ROM,Y,None,NONE
ROM,Y,None,NONE
RUH,Y,None,NONE
SNN,Y,None,NONE
SOF,Y,None,NONE
SPU,Y,None,NONE
STO,Y,None,NONE
STO,Y,None,NONE
STO,Y,None,NONE
STO,Y,None,NONE
STR,Y,None,NONE
SVG,Y,None,NONE
TAS,Y,None,NONE
THR,Y,None,NONE
THR,Y,None,NONE
TLS,Y,None,NONE
TLV,Y,None,NONE
TLV,Y,None,NONE
TUN,Y,None,NONE
VCE,Y,None,NONE
VCE,Y,None,NONE
VIE,Y,None,NONE
WAW,Y,None,NONE
ZAG,Y,None,NONE
ZRH,Y,None,NONE
ConnectPoint1,,None,NONE
LHR,,None,NONE
FRA,,None,NONE
DXB,,None,NONE
CDG,,None,NONE
JFK,,LHR,NONE
AMS,,FRA,NONE
EWR,,DXB,NONE
HKG,,CDG,NONE
MUC,,JFK,NONE
PHL,,AMS,NONE
ORD,,EWR,NONE
ZRH,,HKG,NONE
ATL,,MUC,NONE
CPH,,PHL,NONE
IAD,,ORD,NONE
ICN,,ZRH,NONE
LAX,,ATL,NONE
YYZ,,CPH,NONE
CLT,,IAD,NONE
NRT,,LAX,NONE
DFW,,CLT,NONE
PEK,,DFW,NONE
PVG,,LGW,NONE
DTW,,None,NONE
TPE,,None,NONE
IAH,,None,NONE
MSP,,None,NONE
BOS,,None,NONE
MIA,,None,NONE
LAS,,None,NONE
YUL,,None,NONE
SEA,,None,NONE
SLC,,None,NONE
YVR,,None,NONE
PDX,,None,NONE
LGW,,None,NONE
DEN,,None,NONE
YYC,,None,NONE
LCY,,None,NONE
ORY,,None,NONE
CVG,,None,NONE
DUS,,None,NONE
MCO,,None,NONE
MEX,,None,NONE
HND,,None,NONE
DCA,,None,NONE
SNA,,None,NONE
BWI,,None,NONE
SIN,,None,NONE
MNL,,None,NONE
CUN,,None,NONE
LTN,,None,NONE
STN,,None,NONE
PHX,,None,NONE
SYD,,None,NONE
Grand Total,,None,NONE
ArrAirport,ArrIATACtryName,ArrRegName,INCLUDE?
ATL,USA,North America,#NAME?
BOI,USA,North America,#NAME?
BOS,USA,North America,#NAME?
DEN,USA,North America,#NAME?
DFW,USA,North America,#NAME?
GDL,Mexico,Latin America : Central America,#NAME?
HNL,USA,North America,#NAME?
IAH,USA,North America,#NAME?
JFK,USA,North America,#NAME?
KOA,USA,North America,#NAME?
LAX,USA,North America,#NAME?
LIH,USA,North America,#NAME?
MSP,USA,North America,#NAME?
NRT,Japan,Asia : North East Asia,#NAME?
OGG,USA,North America,#NAME?
ORD,USA,North America,#NAME?
PDX,USA,North America,#NAME?
PHX,USA,North America,#NAME?
RNO,USA,North America,#NAME?
SEA,USA,North America,#NAME?
SJD,Mexico,Latin America : Central America,#NAME?
SLC,USA,North America,#NAME?
PEK,China,Asia: North East Asia,#NAME?
Airport,,None,NONE
BOI,,None,NONE
GDL,,None,NONE
HNL,,None,NONE
KOA,,None,NONE
LAX,,None,NONE
LIH,,None,NONE
OGG,,None,NONE
PDX,,None,NONE
AZA,,None,NONE
PHX,,None,NONE
RNO,,None,NONE
BFI,,None,NONE
LKE,,None,NONE
SEA,,None,NONE
SJD,,None,NONE
SLC,,None,NONE
ConnectPoint1,,None,NONE
LAX,,None,NONE
ORD,,None,NONE
MSP,,None,NONE
SFO,,LAX,NONE
JFK,,ORD,NONE
YVR,,MSP,NONE
DFW,,SFO,NONE
ATL,,JFK,NONE
IAH,,YVR,NONE
PHL,,DFW,NONE
DTW,,ATL,NONE
IAD,,IAH,NONE
KEF,,PHL,NONE
YYZ,,DTW,NONE
AMS,,IAD,NONE
CLT,,KEF,NONE
EWR,,YYZ,NONE
CDG,,AMS,NONE
YYC,,EWR,NONE
LAS,,BOS,NONE
SEA,,None,NONE
BOS,,None,NONE
MEX,,None,NONE
FRA,,None,NONE
YUL,,None,NONE
