route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
YZY-PVG,9C,2018,68,0.7605,0.94978,1.249,360
SFB-ORF,G4,2018,9,0.00934,0.1076,11.517,600
LAS-YXX,WO,2018,7,0.11775,0.16213,1.377,240
DCA-MGM,AA,2018,1,0.00702,0.02166,3.086,600
SBN-CLT,AA,2018,61,0.35424,0.35424,1.0,
DEN-BUF,F9,2018,8,0.00376,0.00802,2.129,240
PIT-YUL,AC,2018,48,0.23094,0.30892,1.338,1080
KTJ-MUZ,UI,2018,4,0.37179,1.0,2.69,120
LKY-KGL,UI,2018,11,0.39253,0.55865,1.423,240
BJM-TKQ,TC,2018,1,0.0,0.33897,,480
ODS-OTP,RO,2018,83,0.33319,0.35136,1.055,240
INV-BGO,LM,2018,28,0.93502,0.96205,1.029,360
CEB-SZX,Z2,2018,107,0.08568,0.1527,1.782,120
AQG-FOC,FU,2018,20,0.30095,0.44409,1.476,240
EBL-SOF,IA,2018,53,0.1074,0.22614,2.106,120
BGY-AMM,FR,2018,26,0.24548,0.24548,1.0,
MRS-BIQ,V7,2018,2,0.0,0.07102,,480
SCW-SVX,7R,2018,28,0.1756,0.42895,2.443,960
SVQ-CPH,FR,2018,41,0.23585,0.23585,1.0,
EEK-WTL,7H,2018,2,0.89412,0.91067,1.019,600
BLQ-AMM,FR,2018,25,0.23,0.23,1.0,
MLA-LIS,KM,2018,41,0.1966,0.25179,1.281,480
PFO-SOF,FR,2018,54,0.01081,0.18597,17.212,480
REP-CSX,LQ,2018,88,0.01087,0.07095,6.526,360
JDZ-TSN,GS,2018,28,0.60194,0.73455,1.22,360
MSP-OAK,WN,2018,12,0.02421,0.0577,2.384,720
ADD-FKI,ET,2018,1,0.38878,0.38878,1.0,
ZCL-SJC,Y4,2018,15,0.24488,0.44174,1.804,120
SVO-HOG,N4,2018,5,0.0076,0.16611,21.852,1080
HET-TEN,HU,2018,7,0.08249,0.0925,1.121,1080
VCE-ICN,OZ,2018,88,0.38656,0.49003,1.268,1200
YMA-YXY,4N,2018,3,0.91237,1.0,1.096,120
HNL-LGB,HA,2018,14,0.00736,0.01212,1.647,0
CLE-SLC,DL,2018,46,0.11848,0.15481,1.307,360
JJM-ANA,P2,2018,1,0.01113,0.02908,2.614,480
SXF-LJU,U2,2018,23,0.03075,0.03075,1.0,
EDI-LDY,FR,2018,1,0.0,0.03481,,720
TNG-RAK,3O,2018,2,0.00857,0.02617,3.054,840
GOB-ADD,ET,2018,76,0.73472,0.86591,1.179,1200
LWO-KRK,FR,2018,53,0.13592,0.30628,2.253,240
LPA-TSF,FR,2018,23,0.02804,0.08546,3.048,960
BDS-TXL,U2,2018,29,0.04722,0.12133,2.569,360
ENI-PPS,T6,2018,1,0.0,0.05429,,360
MMY-FUK,NH,2018,27,0.21355,0.3454,1.617,240
HBA-ADL,JQ,2018,18,0.58109,0.58176,1.001,480
SMF-YVR,AC,2018,67,0.47352,0.52906,1.117,480
DSM-PHL,AA,2018,54,0.09568,0.1701,1.778,720
