route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
HAK-XIC,GX,2017,2,0.0,0.01086,,480
HJJ-NNG,GX,2017,16,0.42579,0.76528,1.797,480
YNY-KKJ,KW,2017,2,0.875,1.0,1.143,0
TRZ-SHJ,IX,2017,41,0.1721,0.31592,1.836,120
JIQ-HGH,GJ,2017,18,0.07394,0.24546,3.32,360
USU-CEB,PR,2017,22,0.54061,0.71929,1.331,240
JAI-IXC,9W,2017,1,0.02239,0.03673,1.64,600
HYD-TRV,6E,2017,4,0.00684,0.12438,18.191,360
NGB-DOY,HU,2017,2,0.0,0.03444,,240
XFN-CGO,JR,2017,33,0.47927,0.72164,1.506,480
ADL-CAN,CZ,2017,138,0.27161,0.55137,2.03,1200
ENY-TAO,CZ,2017,31,0.48868,0.53484,1.094,480
KXK-VVO,HZ,2017,10,0.13626,0.98845,7.254,240
RIZ-HGH,GS,2017,99,0.25173,0.29665,1.178,360
WDS-NAY,KN,2017,10,0.19269,0.68195,3.539,120
NNG-WDS,GX,2017,4,0.00374,0.01127,3.009,840
INC-TAO,CZ,2017,30,0.06012,0.09039,1.504,600
LYI-KMG,GJ,2017,43,0.60804,0.76736,1.262,360
CRK-USU,PR,2017,1,0.46937,0.46937,1.0,
TNA-ZUH,HU,2017,3,0.03002,0.03002,1.0,
SZX-CXR,HU,2017,4,0.76083,0.76817,1.01,120
HAK-FUG,GX,2017,4,0.00156,0.00551,3.535,960
VVO-SYX,Y7,2017,13,0.01533,0.02778,1.812,120
LHW-NGB,9C,2017,9,0.0034,0.00868,2.55,240
KMG-CEB,8L,2017,20,0.95492,0.9616,1.007,0
HNY-CKG,OQ,2017,44,0.25609,0.61283,2.393,240
TNA-KBV,E3,2017,4,0.00561,0.11436,20.384,360
AVA-SZX,DZ,2017,35,0.14586,0.50373,3.454,360
DMK-ZHA,G5,2017,18,0.03116,0.18778,6.027,600
CZX-KOW,CZ,2017,5,0.01016,0.07534,7.413,720
TLQ-CSX,CZ,2017,40,0.71702,0.98392,1.372,360
SYX-PUS,BX,2017,11,0.20675,0.20675,1.0,
CTS-GAJ,JH,2017,3,0.00731,0.12343,16.891,840
JIQ-HAK,JD,2017,6,0.0,0.51249,,360
BAX-IKT,IO,2017,18,0.83858,1.0,1.192,1320
MAN-MCT,WY,2017,38,0.03164,0.07088,2.24,960
BZK-LED,S7,2017,28,0.92485,0.92485,1.0,
GDN-AMS,KL,2017,131,0.32827,0.32827,1.0,
GYD-SHJ,G9,2017,26,0.35054,0.35054,1.0,
MUC-VKO,UT,2017,74,0.25902,0.33482,1.293,360
VCE-RTM,HV,2017,1,0.03332,0.0898,2.695,240
PRG-GOT,OK,2017,7,0.36727,0.37023,1.008,600
FCO-DFW,AA,2017,158,0.15449,0.28335,1.834,1200
KRK-VLC,FR,2017,12,0.0333,0.0509,1.529,480
KIV-MAD,9U,2017,165,0.1492,0.28568,1.915,360
PHL-KEF,FI,2017,22,0.01984,0.0699,3.523,0
UCT-DME,KO,2017,71,0.74094,0.9202,1.242,360
IVL-KTT,AY,2017,1,1.0,1.0,1.0,
BFJ-JHG,GJ,2017,1,0.0,1.0,,0
SYX-SWA,CZ,2017,12,0.01223,0.03573,2.922,720
HKT-FRA,TG,2017,143,0.29151,0.46857,1.607,1200
BTW-BDJ,IW,2017,8,0.96429,1.0,1.037,240
SWV-GDX,IO,2017,3,1.0,1.0,1.0,
DLC-YIW,DZ,2017,6,0.00368,0.00972,2.643,600
SQD-SZX,SC,2017,27,0.90118,0.91704,1.018,120
WDS-SJW,GX,2017,16,0.2461,0.34081,1.385,600
KZN-ASB,T5,2017,6,0.86181,0.91239,1.059,240
NKG-ZHA,MU,2017,4,0.00041,0.00517,12.517,360
LPQ-KUL,AK,2017,28,0.46484,0.65165,1.402,360
NUF-KCT,C7,2017,1,0.0,1.0,,120
ZIA-LBD,U6,2017,2,0.97479,1.0,1.026,120
TYN-MIG,SC,2017,6,0.0,0.39647,,480
YIW-WUH,CZ,2017,47,0.3905,0.45191,1.157,720
PVG-YUL,AC,2017,57,0.43574,0.46803,1.074,1080
TAO-XFN,GX,2017,6,0.0011,0.00295,2.667,1080
SZX-DAD,HU,2017,13,0.67485,0.7914,1.173,240
UCB-XIY,G5,2017,67,0.33224,0.71041,2.138,240
WUX-HKT,E3,2017,10,0.07407,0.19682,2.657,120
TNA-HJJ,GX,2017,3,0.0024,0.08601,35.885,1080
SOQ-KNG,IW,2017,1,0.0,1.0,,120
HKT-NGB,9C,2017,22,0.01076,0.03772,3.504,720
HET-YTY,9C,2017,21,0.08582,0.11486,1.338,360
SWA-TSN,3U,2017,24,0.01893,0.11539,6.097,600
CAN-MDC,JT,2017,13,0.7452,0.81131,1.089,0
SZX-ENH,GJ,2017,1,0.0015,0.00686,4.555,720
KRK-DUS,EW,2017,53,0.02593,0.09691,3.738,240
PLQ-WAW,LO,2017,56,0.33099,0.4766,1.44,840
TJM-MRV,YC,2017,4,0.00275,0.35982,130.617,1320
SKP-BUD,W6,2017,58,0.08573,0.10139,1.183,120
NYO-NAP,FR,2017,9,0.00458,0.24438,53.338,360
VKO-NCE,SU,2017,29,0.66403,0.6855,1.032,240
CTA-ATH,A3,2017,54,0.54578,0.70246,1.287,240
FSC-CDG,U2,2017,109,0.34158,0.58592,1.715,360
XIY-JIQ,JD,2017,1,0.00138,0.00429,3.098,1200
HDG-SZX,DZ,2017,21,0.28956,0.31706,1.095,360
XUZ-MIG,GT,2017,6,0.46273,0.4986,1.078,480
CRK-PPS,PR,2017,1,0.10081,0.46987,4.661,720
TAE-CEB,TW,2017,24,0.87834,0.94009,1.07,0
KMG-LPQ,MU,2017,5,0.33423,0.38442,1.15,480
CAN-MCT,WY,2017,30,0.15602,0.19917,1.277,960
HGH-DAX,TV,2017,8,0.00365,0.05454,14.961,360
XNN-HFE,PN,2017,9,0.01367,0.02009,1.47,960
BBI-MAA,6E,2017,23,0.24809,0.41082,1.656,360
TAE-OKA,TW,2017,12,0.82397,0.82397,1.0,
WAW-TSE,LO,2017,37,0.15741,0.16183,1.028,1200
HKD-NRT,JW,2017,101,0.14746,0.43056,2.92,360
TCZ-CKG,CZ,2017,76,0.11689,0.17796,1.522,240
YTY-ZUH,9C,2017,29,0.02214,0.03044,1.375,480
HKG-TAE,TW,2017,3,0.00371,0.0073,1.965,120
UCB-INC,SC,2017,16,0.66928,0.7635,1.141,720
HUZ-NKG,HO,2017,28,0.29367,0.31748,1.081,480
TNA-HSN,SC,2017,5,0.0181,0.18561,10.255,360
NNG-TSN,3U,2017,28,0.03108,0.0431,1.386,240
LPF-CKG,CA,2017,80,0.25808,0.34912,1.353,360
LKO-BKK,WE,2017,53,0.68785,0.72977,1.061,600
TEN-SJW,HU,2017,14,0.38009,0.48492,1.276,240
TNA-KOW,GX,2017,5,0.0,0.02289,,480
YIC-NKG,ZH,2017,61,0.03702,0.20761,5.607,240
CEI-HKT,VZ,2017,7,0.05149,0.08152,1.583,960
HNY-HGH,HU,2017,28,0.67158,0.84287,1.255,240
TNA-MIG,SC,2017,6,0.33199,0.33611,1.012,480
CGO-HLH,DZ,2017,3,0.55944,0.56184,1.004,720
KUL-BBI,AK,2017,7,0.005,0.04991,9.979,240
NKG-MXP,NO,2017,65,0.22137,0.36141,1.633,1080
TNA-RIZ,GX,2017,7,0.49893,0.50086,1.004,600
PZI-WUH,MU,2017,35,0.11143,0.18771,1.685,360
AKU-KHG,CZ,2017,2,0.47368,0.48074,1.015,720
TPE-DAD,BL,2017,11,0.26917,0.29682,1.103,480
HFE-BKK,9C,2017,46,0.29486,0.32396,1.099,120
HDG-DLC,GJ,2017,19,0.64141,0.71724,1.118,360
JMU-YNT,SC,2017,20,0.24977,0.30438,1.219,240
KIV-SXF,W6,2017,64,0.03673,0.04428,1.206,840
KBP-BGY,PS,2017,29,0.05764,0.11401,1.978,240
EDI-DUS,EW,2017,94,0.00336,0.04506,13.391,240
JFK-GLA,DL,2017,54,0.15597,0.15888,1.019,120
MAD-BRI,FR,2017,9,0.00273,0.00376,1.378,600
WMI-NAP,FR,2017,10,0.31115,0.3546,1.14,840
PSA-VKO,DP,2017,69,0.69331,0.75012,1.082,720
BCN-VLC,VY,2017,14,0.31806,0.32032,1.007,600
SOF-BSL,W6,2017,32,0.01388,0.01667,1.201,840
VIE-SEN,BE,2017,4,0.00375,0.17937,47.846,240
VLC-HAM,FR,2017,14,0.01909,0.01909,1.0,
MXP-RHO,NO,2017,5,0.13399,0.14914,1.113,120
HER-EIN,HV,2017,5,0.00464,0.05052,10.89,600
SXF-TZL,W6,2017,9,0.02878,0.02878,1.0,
ZRH-SCQ,LX,2017,6,0.00063,0.00345,5.477,1080
LAX-WAW,LO,2017,69,0.06512,0.06967,1.07,1320
DME-ARN,SQ,2017,68,0.55255,0.55255,1.0,
ORY-ZSA,TX,2017,2,0.0,0.62211,,1200
BDU-BOO,WF,2017,13,0.76301,0.90162,1.182,600
MRS-LTN,U2,2017,16,0.22664,0.26881,1.186,240
ARN-LTN,U2,2017,34,0.09392,0.12979,1.382,360
CGN-VAR,XG,2017,3,0.00184,0.23821,129.148,0
ZRH-INI,LX,2017,1,0.00321,0.04425,13.791,960
OAK-CPH,DY,2017,93,0.29889,0.35762,1.197,1200
EDI-BIO,U2,2017,15,0.00459,0.03071,6.692,240
LED-BEG,JU,2017,23,0.0542,0.28744,5.304,480
MRS-VIE,V7,2017,69,0.02323,0.04611,1.985,360
TLS-NAP,FR,2017,9,0.0031,0.03992,12.868,360
BUD-SEN,BE,2017,4,0.00273,0.17539,64.296,240
FRA-MSY,DE,2017,34,0.0033,0.03346,10.124,0
BCN-OAK,IB,2017,31,0.19448,0.34326,1.765,960
OSL-LKN,WF,2017,2,0.09865,0.10421,1.056,840
MXP-DME,IG,2017,96,0.13253,0.17693,1.335,1080
BOD-FEZ,3O,2017,2,0.00055,0.01634,29.519,120
STN-FNC,LS,2017,3,0.03692,0.34777,9.419,240
PMO-NUE,FR,2017,8,0.01272,0.02296,1.805,720
OTP-ZAG,OU,2017,15,0.20805,0.20805,1.0,
PUY-DUS,EW,2017,47,0.66994,0.95622,1.427,480
MIR-VKO,BJ,2017,66,0.58209,0.83263,1.43,720
TBS-OVB,S7,2017,22,0.35916,0.40233,1.12,840
LHR-RBA,AT,2017,2,0.0003,0.00337,11.132,960
TBS-AER,U6,2017,14,0.08633,0.32844,3.804,720
PMO-BUD,FR,2017,25,0.04323,0.1124,2.6,360
WDH-CGN,EW,2017,43,0.33633,0.35117,1.044,0
CRL-LIS,FR,2017,45,0.24169,0.37179,1.538,360
ALC-LIS,TP,2017,39,0.28758,0.449,1.561,360
FRA-BGY,FR,2017,43,0.0468,0.11898,2.542,360
BHX-GVA,U2,2017,49,0.00481,0.04738,9.857,240
KEF-TLV,WW,2017,13,0.05943,0.07908,1.331,0
BCN-FLL,DY,2017,73,0.12612,0.13478,1.069,1320
TLV-GDN,FR,2017,40,0.00776,0.06186,7.975,0
PVR-SJD,A7,2017,14,0.02308,0.03775,1.636,600
SCL-VVI,LA,2017,8,0.46672,0.48082,1.03,480
EWR-BIM,7Q,2017,2,0.0,0.01163,,720
CWB-REC,AD,2017,8,0.21299,0.21299,1.0,
ASU-COR,UX,2017,4,0.22348,0.5928,2.653,840
PVR-OAK,WN,2017,15,0.00579,0.11492,19.85,120
TJL-SJP,2Z,2017,4,1.0,1.0,1.0,
BLA-LIM,9V,2017,19,0.93641,0.93641,1.0,
DXB-FLL,EK,2017,102,0.05916,0.15763,2.665,960
MED-ADD,ET,2017,46,0.68208,0.69802,1.023,240
HAS-TUU,,2017,2,0.0,1.0,,600
MCT-NJF,WY,2017,6,0.00977,0.07495,7.669,120
HOU-OMA,WN,2017,7,0.00318,0.02194,6.905,720
MYR-BDL,NK,2017,1,0.0,0.10467,,240
EWR-BGR,UA,2017,1,0.00409,0.00509,1.244,240
BWI-HGR,9X,2017,4,0.42634,0.47262,1.109,840
MSY-RDU,G4,2017,15,0.01331,0.01454,1.093,480
CVG-SAN,F9,2017,16,0.01445,0.01578,1.092,120
LIH-KOA,HA,2017,7,0.00567,0.01923,3.39,720
KWE-HET,GX,2017,18,0.22923,0.34218,1.493,240
CZX-FOC,3U,2017,21,0.05485,0.11844,2.159,360
CKG-DIG,OQ,2017,2,0.00546,0.06703,12.286,360
INC-YCU,SC,2017,8,0.0,0.00512,,600
TSN-SJW,JR,2017,36,0.05507,0.0958,1.739,840
CTU-ADD,ET,2017,54,0.5718,0.89779,1.57,1200
CSX-HUZ,BK,2017,1,0.0,0.01595,,1080
STV-GOI,SG,2017,3,0.82193,0.9914,1.206,1080
JNG-SZX,DZ,2017,22,0.07429,0.22908,3.083,1200
NKG-YVR,MU,2017,55,0.61887,0.73761,1.192,1200
DJJ-SUB,SJ,2017,26,0.16209,0.28609,1.765,120
HRB-HDG,DZ,2017,3,0.00111,0.00185,1.669,960
TJS-BPN,IW,2017,16,0.81789,0.97644,1.194,360
CAN-USM,PG,2017,6,0.0139,0.01898,1.365,480
IXC-SHJ,IX,2017,39,0.57621,0.64968,1.128,480
IXC-PNQ,AI,2017,6,0.01397,0.03087,2.209,720
NGB-WEH,GJ,2017,6,0.00465,0.17293,37.213,480
LZY-XIY,3U,2017,71,0.3999,0.43817,1.096,360
CGO-CXR,VN,2017,1,0.06637,0.33587,5.061,720
HGH-URT,CA,2017,1,0.0,0.00596,,360
XFN-TNA,Y8,2017,12,0.24449,0.44375,1.815,600
COK-AMD,G8,2017,8,0.00738,0.01094,1.483,960
KIJ-TPE,FE,2017,51,0.21291,0.41319,1.941,240
HIA-DMK,E3,2017,35,0.59455,0.72267,1.215,360
LUM-XIY,8L,2017,64,0.24939,0.31063,1.246,240
CEI-HKG,UO,2017,90,0.3961,0.55846,1.41,240
DXB-CTU,3U,2017,103,0.09475,0.15703,1.657,1320
JGS-NNG,MU,2017,17,0.18089,0.32829,1.815,840
YTY-KWL,GT,2017,41,0.03761,0.06328,1.683,360
SVO-KSN,SU,2017,3,0.01694,0.18166,10.724,120
WEH-DQA,HO,2017,1,0.0,0.35512,,240
LPL-BGY,0B,2017,34,0.29852,0.49914,1.672,240
IEV-BTS,W6,2017,16,0.24293,0.33565,1.382,840
KHE-KBP,PS,2017,53,0.62619,0.62619,1.0,
AYT-ROV,8Q,2017,6,0.13771,0.43477,3.157,960
BHX-VIE,EW,2017,68,0.0713,0.10858,1.523,360
ZAG-OSL,OU,2017,30,0.46811,0.47069,1.006,480
SVJ-ANX,WF,2017,2,0.0,0.82571,,240
ORD-BCN,AA,2017,109,0.04128,0.04558,1.104,360
CLJ-LCA,W6,2017,10,0.1789,0.22357,1.25,480
FRA-ALC,FR,2017,6,0.00407,0.01537,3.771,480
WAW-EWR,LO,2017,100,0.1064,0.14673,1.379,240
SVJ-OSL,WF,2017,57,0.76131,0.83634,1.099,240
LUZ-MUC,BM,2017,102,0.36959,0.41903,1.134,360
HUZ-TNA,GX,2017,13,0.00609,0.19593,32.193,360
MIG-NNG,GX,2017,21,0.36141,0.69235,1.916,480
NKG-TCZ,KY,2017,1,0.00251,0.00251,1.0,
JJN-TSN,ZH,2017,26,0.06777,0.09625,1.42,600
MAD-DEL,AI,2017,65,0.37329,0.3936,1.054,1080
NKG-AVA,SC,2017,4,0.0,0.00506,,840
ZHA-KHN,NS,2017,16,0.02059,0.05302,2.575,480
SHE-UYN,DR,2017,3,0.01294,0.02221,1.716,480
SYX-YIH,HU,2017,9,0.00519,0.01729,3.332,480
BKK-OKA,MM,2017,31,0.3118,0.33678,1.08,480
HYD-IXC,6E,2017,1,0.0,0.04958,,480
WDS-XMN,MF,2017,16,0.05043,0.49516,9.819,480
IAO-MNL,M8,2017,47,0.71122,0.71122,1.0,
INC-DSN,JR,2017,13,0.1872,0.37398,1.998,480
KMG-YTY,9C,2017,21,0.00225,0.01311,5.815,600
JJN-XUZ,HU,2017,7,0.01495,0.07252,4.851,480
BLR-IXB,SG,2017,2,0.0,0.01414,,600
BOM-KGL,WB,2017,10,0.30016,0.32088,1.069,1320
PNH-SZX,CZ,2017,104,0.21975,0.222,1.01,240
FOC-YIH,FU,2017,6,0.00388,0.00832,2.146,1200
STV-HYD,SG,2017,17,0.84587,0.96558,1.142,1320
FUG-CTU,3U,2017,49,0.44707,0.62637,1.401,240
URA-DME,S7,2017,44,0.86865,0.89083,1.026,240
TXN-WUH,JR,2017,51,0.41193,0.46391,1.126,480
GUW-KZO,Z9,2017,2,0.00338,0.09715,28.734,480
LYG-SJW,NS,2017,15,0.13664,0.43634,3.193,720
NKG-JGS,MU,2017,4,0.12638,0.12638,1.0,
YCU-TAO,SC,2017,25,0.31369,0.50375,1.606,600
ACX-WUH,GJ,2017,32,0.14197,0.21266,1.498,600
ZYI-KWL,FU,2017,28,0.21619,0.27129,1.255,840
LJG-LHW,TV,2017,15,0.25965,0.39267,1.512,600
GUW-URA,IQ,2017,2,0.00118,0.01744,14.808,360
DME-BKK,TG,2017,54,0.3321,0.51024,1.536,120
SYD-WUH,MU,2017,66,0.01119,0.1003,8.962,1200
TSN-CGD,GX,2017,5,0.0,0.00355,,480
HFN-RKV,FEI,2017,4,0.07292,1.0,13.714,0
EDI-OPO,FR,2017,10,0.06919,0.11494,1.661,1080
SCQ-MXP,U2,2017,60,0.11545,0.18859,1.633,480
BRN-LCY,SX,2017,10,0.43541,0.5981,1.374,360
LTN-JER,U2,2017,4,0.4299,0.4513,1.05,720
ZAG-HEL,OU,2017,40,0.61955,0.65704,1.061,840
NAP-KUN,FR,2017,1,0.0,0.05685,,360
VIE-NTE,V7,2017,9,0.00226,0.00885,3.907,480
FCO-LCA,AZ,2017,10,0.00264,0.01968,7.467,840
GCI-CWL,BE,2017,14,0.10293,0.1982,1.926,480
AMS-GRZ,KL,2017,2,0.00298,0.01991,6.679,960
BUD-HAJ,W6,2017,14,0.00948,0.01509,1.593,720
BOJ-FRA,XG,2017,107,0.72347,0.78045,1.079,360
SRG-UPG,SJ,2017,20,0.42981,0.65864,1.532,360
FSZ-OKD,JH,2017,2,0.62677,0.93751,1.496,480
SYD-KMG,MU,2017,111,0.29244,0.29471,1.008,1200
HYN-HFE,9H,2017,17,0.25735,0.37694,1.465,480
BKI-PUS,ZE,2017,15,0.22637,0.26575,1.174,240
YNT-HFE,MU,2017,16,0.02122,0.06556,3.09,480
KWE-XFN,Y8,2017,6,0.00381,0.15019,39.421,1080
YIC-HAK,ZH,2017,56,0.10144,0.19177,1.891,240
KCT-DWO,C7,2017,3,0.0,0.76571,,720
SLY-SVO,SU,2017,81,0.34685,0.59501,1.715,240
BUW-KDI,IW,2017,2,0.0,0.01083,,480
IXM-BOM,9W,2017,54,0.23548,0.31848,1.352,360
YIW-DMK,E3,2017,32,0.48823,0.63655,1.304,360
NZL-HET,G5,2017,26,0.35498,1.0,2.817,480
CCJ-RUH,IX,2017,49,0.15273,0.20145,1.319,0
SYD-HGH,MU,2017,91,0.01467,0.06238,4.253,1200
NRT-TSN,IJ,2017,51,0.02083,0.04812,2.311,120
CSX-XFN,JR,2017,5,0.40977,0.41004,1.001,840
PEK-LAS,HU,2017,98,0.04212,0.0583,1.384,1200
PUS-KKJ,LJ,2017,2,0.10348,0.10348,1.0,
JHB-LGK,AK,2017,2,0.0039,0.02384,6.116,1320
HRB-JNZ,8L,2017,4,0.0037,0.00933,2.522,480
ZUH-SJW,9C,2017,14,0.11352,0.13668,1.204,240
JAI-BKK,WE,2017,60,0.68297,0.71771,1.051,120
KWE-INC,CZ,2017,6,0.01606,0.02029,1.264,840
HAN-SYD,VN,2017,45,0.61745,0.63294,1.025,1320
CNX-SZX,HU,2017,63,0.05136,0.08084,1.574,240
TYN-WUX,MU,2017,17,0.00401,0.02355,5.867,240
DYG-MIG,BK,2017,6,0.0373,0.38632,10.357,480
OSL-MJF,WF,2017,3,0.01797,0.15752,8.764,240
NYO-TGD,FR,2017,2,0.30355,0.30355,1.0,
MAD-RIX,BT,2017,16,0.0324,0.07596,2.345,1080
KTW-CIA,W6,2017,16,0.09304,0.18853,2.026,240
SVO-SPU,SU,2017,2,0.01262,0.21524,17.052,720
LHR-SCL,BA,2017,21,0.57601,0.60666,1.053,960
ZIA-TLV,U6,2017,11,0.77757,1.0,1.286,0
LHR-MAH,BA,2017,4,0.02367,0.04842,2.045,360
VLC-RTM,HV,2017,3,0.05922,0.05922,1.0,
TRN-AGP,0B,2017,11,0.3163,0.37485,1.185,240
LPL-PRG,FR,2017,42,0.05189,0.18553,3.576,480
PUF-NTE,CE,2017,13,0.40468,0.46533,1.15,600
GRO-NCL,LS,2017,8,0.01567,0.06444,4.112,840
NTE-LTN,U2,2017,55,0.09774,0.12615,1.291,240
IEV-FCO,AZ,2017,63,0.81777,0.84376,1.032,240
UTS-SCW,KO,2017,3,0.79412,1.0,1.259,0
KEF-KTW,W6,2017,8,0.00376,0.11475,30.557,840
GLA-LIS,FR,2017,37,0.13974,0.28026,2.006,360
BLL-WAW,W6,2017,27,0.14441,0.20082,1.391,480
WAW-SDR,W6,2017,1,0.03273,0.03273,1.0,
NUE-BRI,FR,2017,6,0.00685,0.04437,6.481,1080
GOT-MAD,D8,2017,76,0.10725,0.14277,1.331,360
CDG-ACC,AF,2017,11,0.5533,0.58722,1.061,0
VOZ-IST,TK,2017,127,0.67518,0.73162,1.084,600
LAS-CGN,EW,2017,58,0.23344,0.23344,1.0,
ALC-LUX,LG,2017,16,0.02479,0.05411,2.183,480
PSA-DME,S7,2017,90,0.73145,0.74675,1.021,720
FLR-LTN,VY,2017,14,0.22526,0.23185,1.029,360
HAJ-VAR,XG,2017,3,0.00182,0.23895,131.179,1200
NAP-BLQ,FR,2017,37,0.00919,0.07387,8.034,480
URO-LYS,A5,2017,35,0.9747,1.0,1.026,480
DOH-KBP,QR,2017,34,0.00082,0.08038,97.658,120
NOP-SAW,PC,2017,65,0.71422,0.7222,1.011,480
FRA-STN,FR,2017,34,0.05603,0.13598,2.427,360
FRA-GLA,FR,2017,24,0.25677,0.27325,1.064,240
LCY-LIS,TP,2017,47,0.17779,0.33078,1.86,360
PEK-LIS,JD,2017,53,0.09668,0.15162,1.568,1200
SIN-LGW,DI,2017,117,0.10565,0.15159,1.435,960
SVO-SZX,CZ,2017,69,0.08806,0.09234,1.049,0
IST-HKT,TK,2017,18,0.04194,0.3255,7.762,240
CUC-EOH,VE,2017,4,0.60822,0.86591,1.424,240
EZE-EWR,UA,2017,110,0.12681,0.14765,1.164,120
MBJ-CGN,EW,2017,52,0.0847,0.15932,1.881,0
IZT-MEX,VW,2017,73,0.97009,0.97913,1.009,480
NQN-SCL,LA,2017,27,0.61142,0.76065,1.244,960
TUC-LIM,LA,2017,42,0.84551,0.9089,1.075,1200
VRA-DME,ZF,2017,118,0.63847,0.71558,1.121,240
MIA-GDL,Y4,2017,28,0.01929,0.04714,2.444,120
LIM-MDZ,LA,2017,6,0.13261,0.27206,2.052,240
SEZ-DOH,QR,2017,90,0.34491,0.41746,1.21,0
DOH-AKL,QR,2017,27,0.40643,0.60006,1.476,840
MCT-NBO,WY,2017,37,0.22327,0.4484,2.008,0
DQM-MCT,WY,2017,55,0.92316,0.94197,1.02,1320
CTG-MTR,VE,2017,2,0.16921,0.16921,1.0,
SJU-MDW,WN,2017,37,0.04423,0.07759,1.754,600
YYZ-SAT,AC,2017,11,0.02111,0.02111,1.0,
SEA-ICT,AS,2017,5,0.00744,0.00744,1.0,
DFW-HRO,9X,2017,1,1.0,1.0,1.0,
SWF-MYR,G4,2017,6,0.04786,0.16425,3.432,240
IAD-SLC,DL,2017,51,0.12201,0.15076,1.236,960
KSZ-ARH,KO,2017,2,1.0,1.0,1.0,
LHR-TLL,BA,2017,10,0.19449,0.19979,1.027,120
MSY-LHR,BA,2017,120,0.34764,0.36744,1.057,0
DEB-MMX,W6,2017,5,0.99095,0.99518,1.004,600
FDH-TZL,W6,2017,1,0.0,0.27284,,840
KVA-VIE,EW,2017,67,0.5131,0.89461,1.744,240
KTW-MLA,W6,2017,3,0.00046,0.09653,211.306,480
VXO-GDN,FR,2017,8,0.60465,1.0,1.654,360
TRN-LUX,LG,2017,17,0.35337,0.39345,1.113,480
SCW-UFA,KO,2017,4,0.26435,0.55078,2.084,720
VKT-SCW,KO,2017,3,0.79412,1.0,1.259,0
CLJ-NCE,0B,2017,33,0.00609,0.70547,115.818,360
GLA-VLC,FR,2017,11,0.00811,0.01647,2.031,120
RIX-GVA,BT,2017,31,0.00501,0.022,4.394,600
KRK-TLV,LY,2017,13,0.13686,0.13942,1.019,600
HAV-CGN,EW,2017,53,0.07389,0.09445,1.278,1200
KUF-IST,TK,2017,127,0.50074,0.5541,1.107,480
OPO-KRK,FR,2017,7,0.02163,0.02163,1.0,
EMA-GRO,LS,2017,5,0.01491,0.08821,5.918,480
OMR-GRO,FR,2017,2,1.0,1.0,1.0,
FRU-VOZ,YK,2017,6,0.0451,0.06678,1.48,360
NCE-DOH,QR,2017,71,0.20581,0.32906,1.599,720
KWI-SJJ,Q9,2017,5,0.0,0.21792,,600
KRK-RAK,FR,2017,3,0.00487,0.02192,4.496,360
IKA-CPH,W5,2017,78,0.16789,0.21496,1.28,480
PVG-BRU,HU,2017,102,0.0258,0.04432,1.718,1200
CLJ-FRA,LH,2017,119,0.1717,0.43784,2.55,360
SYX-DME,ZF,2017,71,0.33712,0.4814,1.428,1200
KIV-VKO,5F,2017,109,0.05016,0.15665,3.123,360
AMS-FEZ,3O,2017,1,0.00385,0.00733,1.906,0
TAO-SVO,JD,2017,82,0.45353,0.52628,1.16,1320
FKB-VKO,DP,2017,76,0.73753,0.75909,1.029,600
SWF-BFS,D8,2017,20,0.77288,0.79377,1.027,360
KGD-WAW,LO,2017,56,0.33792,0.62455,1.848,840
CRL-SSH,TB,2017,7,0.06301,0.35472,5.63,360
DXB-MCX,FZ,2017,2,0.00759,0.12759,16.809,960
MEX-AUS,AM,2017,42,0.01688,0.02525,1.496,120
HAV-ATL,DL,2017,136,0.72633,0.75589,1.041,600
SJD-OAK,WN,2017,15,0.0418,0.10016,2.396,720
MKE-GDL,Y4,2017,12,0.20836,0.20836,1.0,
HAS-AJF,,2017,1,0.0,1.0,,0
HAV-IAH,UA,2017,74,0.40005,0.52732,1.318,600
YHM-YVR,WS,2017,47,0.67516,0.67516,1.0,
SJC-EWR,UA,2017,79,0.13976,0.15567,1.114,720
MSP-MQT,DL,2017,1,0.00605,0.0221,3.653,120
BWI-AOO,9X,2017,1,1.0,1.0,1.0,
JFK-BGR,DL,2017,1,0.01378,0.01551,1.125,240
YUY-YQB,PRO,2017,4,0.81242,0.86784,1.068,240
BRL-MCW,3E,2017,1,1.0,1.0,1.0,
SJC-LGB,B6,2017,7,0.00867,0.01638,1.89,840
KLW-SIT,J5,2017,2,1.0,1.0,1.0,
SFB-CLT,VC,2017,93,0.6787,0.68931,1.016,840
PGD-CLE,G4,2017,15,0.02868,0.13275,4.629,600
ZYI-XNN,GJ,2017,5,0.0195,0.5752,29.501,240
KIX-ASJ,JW,2017,6,0.31539,0.42572,1.35,720
YCU-KWE,CA,2017,20,0.43497,0.43497,1.0,
KWE-HUZ,HO,2017,2,0.03694,0.03694,1.0,
CSX-ACX,GJ,2017,2,0.00284,0.01037,3.648,840
TNA-DPS,JT,2017,29,0.35401,0.52818,1.492,1320
HKT-REP,FD,2017,23,0.29479,0.30275,1.027,480
KAW-RGN,ND,2017,24,0.64044,0.93607,1.462,120
JJN-TAO,QW,2017,24,0.05203,0.08458,1.626,360
LLO-UPG,IW,2017,31,0.85493,0.98042,1.147,120
NNG-XFN,GX,2017,6,0.00426,0.10663,25.033,1080
NNY-XMN,9C,2017,21,0.02905,0.45223,15.566,480
CTS-TAE,BX,2017,6,0.011,0.15737,14.302,360
