route,dep,arr,dep_country,arr_country,type,year,region,carrier,hub_dest,forecast_pax,captured_uncapped,capacity,feed_beyond,feed_behind,p2p_outturn,fc_over_p2p,outturn_pax,fc_over_out,natural,propensity,propensity_basis,gcd_km
DEL-SFO,DEL,SFO,IN,US,FSC,2016,INTL,AI,True,161733,134508,297024,1301,25924,57647,2.333,121875,1.327,123299,0.9521,qsi-share,12376
WUH-FCO,WUH,FCO,CN,IT,FSC,2016,INTL,CZ,True,40637,3142,209040,365,37130,8940,0.351,55212,0.736,2732,1.0,qsi-share,8665
MRU-SIN,MRU,SIN,MU,SG,FSC,2016,INTL,MK,True,7159,5399,171600,88,1673,15049,0.359,83822,0.085,4694,1.0,qsi-share,5588
RUH-MLE,RUH,MLE,SA,MV,FSC,2016,INTL,SV,False,30525,7306,142688,732,22487,6198,1.179,44400,0.688,6353,1.0,qsi-share,3679
GBT-MHD,GBT,MHD,IR,IR,FSC,2016,OTH,EP,False,28907,36570,34008,0,17,27851,1.313,29819,0.969,65475,0.4857,qsi-share,473
KRT-DAM,KRT,DAM,SD,SY,FSC,2016,OTH,4J,False,3,0,147680,3,0,41989,,43186,0.0,0,1.0,qsi-share,2018
DOH-BOS,DOH,BOS,QA,US,FSC,2016,INTL,QR,True,34006,3104,412048,244,30657,10274,0.302,141509,0.24,2699,1.0,qsi-share,10464
ATL-DOH,ATL,DOH,US,QA,FSC,2016,INTL,QR,True,7265,2467,500656,3774,1024,7298,0.338,179505,0.04,2170,0.9886,qsi-share,11978
KRT-DMM,KRT,DMM,SD,SA,LCC,2016,INTL,XY,True,48108,48108,68224,0,0,32040,1.502,32293,1.49,35636,1.0,qsi-share,2153
HMB-HOF,HMB,HOF,EG,SA,LCC,2016,MEA,SM,False,246,221,36816,21,4,11013,0.02,11015,0.022,169,0.9678,qsi-share,1778
